employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status,rejection_reason,rejected_at
33,luke,levine,luke.levine@enterprise.com,2021-07-21,Equities trader,SALES,45000,,SALES,WEST JENNIFERBOROUGH,AR,00735,1972-01-22,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
35,Tracey,HIGGINS,tracey.higgins@corp,2024-08-24,Aeronautical engineer,SALES,75000,2063,SALES,JACOBSONVILLE,AR,85197,1998-06-29,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
37,joseph,WILLIS,JOSEPH.WILLIS@CORP.COM,2021-11-25,"Engineer, site",IT,105000,,IT,YOUNGBURY,AK,37886,2002-11-30,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
39,Margaret,JOSEPH,margaret.joseph@corp.com,2026-01-11,Armed forces operational officer,N/A,55000,,N/A,PORT JACOBTOWN,GU,61483,1983-09-01,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
41,alison,CISNEROS,alison.cisneros@enterprise.com,2021-10-29,IT consultant,N/A,,9049,N/A,CRYSTALCHESTER,DE,96112,1983-07-09,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
43,GEORGE,hicks,george.hicks@company.com,2021-10-27,Interior and spatial designer,HR,95000,,HR,N/A,OH,22966,1997-02-27,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
44,dean,Espinoza,dean.espinoza@company.com,2020-02-25,Manufacturing systems engineer,IT,95000,,IT,DAVIDMOUTH,VT,39949,1995-01-06,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
47,Michael,Gonzalez,michael.gonzalez@company.,2022-01-09,"Engineer, civil (contracting)",SALES,95000,,SALES,EAST SARA,GA,50386,1968-06-29,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
48,JEFFERY,knapp,jeffery.knapp@tech.,2023-07-05,Camera operator,IT,55000,2039,N/A,DANIELLECHESTER,IL,42979,1967-09-30,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
49,Elizabeth,MARSHALL,elizabeth.marshall@enterprise.com,2025-08-22,Brewing technologist,N/A,,9021,N/A,N/A,AK,50172,1968-12-06,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
51,LISA,buchanan,lisa.buchanan@corp,2021-07-16,Dramatherapist,N/A,225000,,N/A,MICHAELPORT,UT,23548,2004-12-13,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
56,kathleen,TRAVIS,kathleen.travis@tech.,2024-01-06,Magazine journalist,ANALYTICS,,5053,ANALYTICS,N/A,DE,70202,1974-06-30,Active,"INVALID_EMAIL, INVALID_SALARY",2026-02-18 16:09:27.882563
59,Heather,MILLER,heather.miller@analytics,2023-09-02,Product/process development scientist,N/A,62100,9016,N/A,NORTH WILLIAMLAND,TX,94790,1994-03-13,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
65,Benjamin,harris,benjamin.harris@analytics.com,2021-12-01,Health visitor,HR,95000,,N/A,N/A,AZ,15369,1978-04-01,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
68,Heather,PEARSON,heather.pearson@company.com,2026-08-02,"Scientist, research (medical)",HR,95000,3044,HR,SOUTH PAUL,LA,02799,1967-12-21,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
74,Scott,Dean,scott.dean@company.com,2019-06-07,Wellsite geologist,SALES,,3081,SALES,GARRETTFORT,TN,27966,1979-05-11,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
75,andre,Morris,andre.morris@enterprise.com,2023-10-12,Medical laboratory scientific officer,N/A,65000,,N/A,LAKE JACQUELINEHAVEN,LA,56118,2000-02-08,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
77,Barbara,FRANKLIN,barbara.franklin@company,2026-10-13,"Nurse, adult",MARKETING,90000,3104,N/A,PORT MARK,MA,30191,1977-07-06,Active,"INVALID_EMAIL, FUTURE_HIRE_DATE",2026-02-18 16:09:27.882563
84,LORI,Williams,lori.williams@tech.,2023-11-10,Chartered public finance accountant,MARKETING,74000,,MARKETING,TERRYTOWN,KY,27164,1985-01-23,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
85,KELLY,Adkins,kelly.adkins@analytics,2021-04-08,"Editor, commissioning",ANALYTICS,225000,3000,N/A,CHADFURT,AZ,63555,2002-02-28,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
87,Laura,Dougherty,laura.dougherty@company.com,2023-08-26,Government social research officer,SALES,,5002,SALES,SHARONFURT,FL,57351,1982-07-15,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
90,TAMARA,SHIELDS,tamara.shields@enterprise.com,2023-09-02,Production manager,IT,,9082,IT,WHITETON,NJ,73710,1995-11-17,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
92,Joseph,Green,joseph.green@company.com,2022-03-15,Tree surgeon,SALES,,5046,SALES,N/A,AL,81278,1965-06-24,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
95,Gerald,Rodriguez,gerald.rodriguez@company,2021-01-09,Emergency planning/management officer,IT,105000,,IT,WEST BRANDONBERG,MH,49955,1979-09-14,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
96,JOHN,Rivera,JOHN.RIVERA@ANALYTICS.COM,2027-08-05,Historic buildings inspector/conservation officer,SALES,62100,2015,SALES,WHITNEYVIEW,MD,80508,1992-11-20,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
102,wesley,farrell,wesley.farrell@tech.,2020-07-07,"Scientist, audiological",ANALYTICS,225000,9040,ANALYTICS,LAKE JENNIFER,MS,34754,1971-05-29,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
106,Debra,Dillon,debra.dillon@analytics.com,2020-02-20,"Administrator, education",SALES,65000,,SALES,NORTH HEATHER,WA,81069,1990-11-13,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
110,Kevin,Wilkinson,kevin.wilkinson@company,2025-01-08,Art gallery manager,ANALYTICS,105000,,ANALYTICS,N/A,VI,82904,1966-03-27,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
124,rhonda,Mcbride,rhonda.mcbride@analytics.com,2027-06-19,Control and instrumentation engineer,MARKETING,105000,3022,N/A,LAKE DENISE,ND,17168,1986-05-31,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
128,JEREMIAH,jones,jeremiah.jones@analytics.com,2025-01-13,Theatre manager,IT,74000,,IT,WEST MATTHEWVILLE,KY,69901,2001-07-11,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
129,DAVID,Hull,david.hull@corp.com,2025-07-04,Communications engineer,ANALYTICS,,9089,ANALYTICS,SOUTH BRIAN,ND,43725,1996-06-30,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
130,jacob,glenn,jacob.glenn@tech.,2021-10-25,Insurance claims handler,IT,62100,3029,IT,PORT DENNISSTAD,DC,79380,1999-08-05,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
131,William,lowe,william.lowe@corp,2025-07-20,Ergonomist,IT,75000,3056,IT,ALBERTTOWN,NM,27416,1998-02-13,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
134,Kevin,williams,kevin.williams@company.com,2021-08-31,Insurance broker,HR,,2085,HR,N/A,AR,77485,1996-12-26,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
137,Bryan,Miles,bryan.miles@enterprise.com,2021-06-03,"Accountant, chartered public finance",IT,65000,,IT,HULLMOUTH,UT,02429,1978-03-07,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
139,Ashley,reilly,ashley.reilly@enterprise.com,2020-03-10,Publishing rights manager,HR,,3040,N/A,EAST ROBERTMOUTH,NY,50239,1997-09-30,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
140,Maria,MERRITT,MARIA.MERRITT@CORP.COM,2020-06-15,"Psychologist, occupational",IT,,2074,IT,STEPHENHAVEN,CT,18336,1996-02-22,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
142,Donald,SKINNER,donald.skinner@company.com,2021-11-28,Ranger/warden,ANALYTICS,90000,,ANALYTICS,LEESIDE,VA,47304,1998-01-02,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
143,susan,SANCHEZ,susan.sanchez@tech.,2021-03-17,"Scientist, research (life sciences)",MARKETING,85000,3131,MARKETING,NORTH DANIELLEMOUTH,CT,79475,1969-06-08,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
144,Christina,Davis,christina.davis@analytics,2020-05-24,Theatre manager,HR,105000,3036,HR,CANNONVILLE,SD,17769,1992-08-16,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
145,BENJAMIN,smith,benjamin.smith@enterprise.com,2021-01-16,"Engineer, materials",ANALYTICS,,5074,N/A,N/A,AR,07248,1976-12-27,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
148,samuel,Miller,samuel.miller@analytics,2024-12-25,Manufacturing engineer,N/A,65000,9033,N/A,HAMMONDTOWN,GA,33866,1967-02-02,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
150,MELISSA,BARTLETT,MELISSA.BARTLETT@ENTERPRISE.COM,2027-10-21,Microbiologist,HR,65000,,HR,RONALDBOROUGH,GA,33120,1976-10-15,Active,"INVALID_MANAGER_ID, FUTURE_HIRE_DATE",2026-02-18 16:09:27.882563
153,patrick,james,PATRICK.JAMES@ENTERPRISE.COM,2021-08-18,Textile designer,MARKETING,85000,,MARKETING,NORTH THERESAMOUTH,IL,13727,1994-09-19,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
154,rebecca,HUBBARD,rebecca.hubbard@company.,2024-09-06,Artist,HR,,,HR,EAST KIMBERLYFORT,ND,97372,1991-03-26,Active,"INVALID_EMAIL, INVALID_MANAGER_ID, INVALID_SALARY",2026-02-18 16:09:27.882563
157,ANTHONY,Petty,anthony.petty@corp.com,2019-05-03,"Conservation officer, historic buildings",N/A,85000,,N/A,GREERLAND,UT,37935,1967-12-02,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
158,david,WRIGHT,david.wright@company.com,2022-08-16,"Pilot, airline",N/A,85000,,N/A,NORTH KEVINSHIRE,AS,72751,1966-06-14,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
160,Walter,GREENE,WALTER.GREENE@CORP.COM,2025-05-11,"Sound technician, broadcasting/film/video",IT,225000,,IT,N/A,WV,57132,1968-11-29,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
162,Gary,DOUGLAS,gary.douglas@corp,2020-10-02,Advertising account planner,N/A,45000,5100,N/A,RICHARDFORT,KS,50536,1990-10-29,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
166,zachary,HOLLAND,zachary.holland@company.com,2023-05-06,Tax adviser,IT,,9070,IT,MILLERMOUTH,AZ,61893,1982-01-13,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
168,KENDRA,Johnson,kendra.johnson@company.com,2027-03-19,Government social research officer,HR,85000,2046,HR,SAMPSONLAND,FL,06740,1999-07-04,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
171,david,SINGH,david.singh@corp,2023-05-11,Clinical research associate,IT,85000,5003,N/A,N/A,WA,91653,1981-12-11,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
172,paul,COOPER,paul.cooper@enterprise.com,2021-09-17,"Engineer, site",IT,74000,,N/A,LAKE AMBER,WA,44555,2004-04-22,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
173,Joel,hill,joel.hill@enterprise.com,2023-06-29,"Therapist, sports",MARKETING,45000,,MARKETING,NORTH JOSHUASTAD,TX,96083,1997-07-04,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
180,timothy,clark,TIMOTHY.CLARK@COMPANY.COM,2022-02-21,Make,HR,62100,,N/A,BOWERSVILLE,MD,64202,1983-02-01,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
181,Gary,Mason,gary.mason@corp.com,2022-03-01,Police officer,N/A,62100,,N/A,N/A,AZ,82791,1987-06-04,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
187,PATRICIA,Day,PATRICIA.DAY@ENTERPRISE.COM,2025-12-22,Chartered public finance accountant,MARKETING,225000,,MARKETING,N/A,FM,35337,1971-03-04,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
188,Jacob,BURNS,jacob.burns@company,2024-10-20,"Designer, furniture",IT,45000,9021,IT,NORTH REGINA,AR,46675,1976-03-18,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
192,Melinda,perry,melinda.perry@analytics.com,2023-05-28,Private music teacher,HR,105000,,N/A,N/A,WI,44320,1965-07-10,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
197,jenny,Anderson,jenny.anderson@analytics.com,2023-09-13,Barista,IT,,5037,IT,BUSHTOWN,GU,84113,1994-08-03,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
201,TIMOTHY,schaefer,TIMOTHY.SCHAEFER@COMPANY.COM,2021-02-24,"Social research officer, government",MARKETING,105000,,MARKETING,MOONCHESTER,CO,57714,1975-12-24,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
203,RACHEL,BROWN,rachel.brown@company,2023-03-24,"Programmer, systems",N/A,65000,2099,N/A,MICHAELMOUTH,KY,33297,2004-04-06,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
205,DANIEL,Gibson,daniel.gibson@analytics.com,2021-06-06,Translator,IT,90000,,IT,PORT BRANDYCHESTER,UT,44042,1966-09-03,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
210,JEREMY,garner,jeremy.garner@enterprise.com,2020-08-25,Accommodation manager,IT,,9050,N/A,PONCEMOUTH,MP,27639,1974-03-28,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
215,kelly,castro,kelly.castro@tech.com,2021-07-23,Exhibition designer,N/A,85000,,N/A,STEVENMOUTH,NV,81912,1996-05-16,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
217,LARRY,Larsen,larry.larsen@company.com,2021-11-14,Magazine features editor,MARKETING,95000,,MARKETING,N/A,SC,84383,2001-05-31,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
219,KEVIN,Montgomery,kevin.montgomery@corp.com,2020-09-08,Sales promotion account executive,SALES,45000,,SALES,WESLEYBERG,VT,02818,1974-12-21,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
222,KRISTIE,Gutierrez,kristie.gutierrez@tech.,2022-01-05,Cartographer,IT,90000,9063,N/A,N/A,SD,74798,1982-10-15,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
227,joel,Martinez,joel.martinez@corp,2020-06-11,Tax adviser,HR,105000,2020,HR,DOUGLASFORT,NH,11044,1993-09-26,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
230,RICHARD,Gordon,richard.gordon@enterprise.com,2021-01-01,International aid/development worker,MARKETING,75000,,MARKETING,N/A,VT,95757,1973-03-26,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
234,tiffany,adams,tiffany.adams@company.com,2020-12-13,Musician,HR,,9006,HR,AMBERPORT,KS,91403,2003-11-07,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
235,KYLE,STONE,kyle.stone@analytics.com,2020-07-05,"Production designer, theatre/television/film",N/A,,3033,N/A,LAKE JASONHAVEN,NH,21031,1999-01-05,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
236,Morgan,jefferson,morgan.jefferson@company,2020-12-23,Diagnostic radiographer,N/A,55000,9087,N/A,EAST JEFFREY,AK,46342,2004-02-17,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
238,CHERYL,leach,cheryl.leach@corp,2021-03-09,Stage manager,IT,55000,9093,IT,AMBERBURY,ME,36932,1997-09-29,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
239,PAUL,Rodriguez,paul.rodriguez@company.com,2022-04-08,Public librarian,IT,,2069,N/A,NEW GERALD,IL,24611,1965-06-16,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
243,JACOB,bradford,jacob.bradford@corp.com,2021-11-30,"Teacher, secondary school",IT,62100,,IT,N/A,MH,35223,1978-02-26,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
246,Travis,Hicks,travis.hicks@enterprise.com,2020-06-19,Hydrographic surveyor,HR,74000,,HR,N/A,SC,71697,1995-06-25,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
250,Wyatt,Bates,wyatt.bates@enterprise.com,2024-05-27,Community development worker,IT,74000,,N/A,N/A,RI,75233,1999-06-02,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
252,JARED,Tucker,JARED.TUCKER@ENTERPRISE.COM,2021-08-13,Arboriculturist,HR,105000,,HR,PORT MARK,ID,04950,1978-03-29,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
255,brittany,lopez,brittany.lopez@analytics.com,2024-09-06,"Psychologist, forensic",MARKETING,65000,,MARKETING,N/A,FL,59972,1990-10-04,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
256,Courtney,MARTINEZ,courtney.martinez@corp,2020-08-23,Environmental manager,N/A,55000,9081,N/A,NORTH SAMANTHA,AS,24205,1973-11-27,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
259,CHASE,blackwell,chase.blackwell@tech.com,2020-10-03,Commercial horticulturist,SALES,85000,,SALES,BENNETTBOROUGH,MA,92296,1980-03-12,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
260,Karen,rhodes,karen.rhodes@analytics.com,2021-11-20,"Scientist, physiological",N/A,90000,3092,N/A,N/A,AS,10475,1974-02-24,Active,DUPLICATE_EMPLOYEE_ID,2026-02-18 16:09:27.882563
260,thomas,WALLACE,thomas.wallace@tech.com,2024-01-22,Recruitment consultant,MARKETING,62100,9067,MARKETING,WEST JESSICASHIRE,ND,41654,1966-11-10,Active,DUPLICATE_EMPLOYEE_ID,2026-02-18 16:09:27.882563
262,ABIGAIL,Miller,abigail.miller@analytics,2023-11-11,Camera operator,MARKETING,45000,9008,MARKETING,MCCOYSHIRE,NM,24342,1966-06-12,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
263,David,Stewart,david.stewart@corp,2019-12-15,"Restaurant manager, fast food",SALES,95000,9012,SALES,SHAWTON,ID,16834,1989-07-17,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
266,mary,gordon,mary.gordon@corp.com,2022-06-06,Volunteer coordinator,HR,90000,,HR,NEW DEVON,AZ,57586,1984-11-07,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
271,MARK,johnson,mark.johnson@corp.com,2027-02-10,"Surveyor, mining",HR,90000,2093,HR,EAST ANNABOROUGH,FL,16638,1975-12-28,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
286,michelle,bowman,michelle.bowman@company,2024-04-27,Interpreter,SALES,105000,9007,SALES,WEST JACOBFURT,IA,75448,1966-07-12,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
289,COLE,Meyers,cole.meyers@analytics,2026-08-14,Paramedic,IT,62100,9060,IT,SOUTH MICHAELBERG,CO,45800,1994-07-07,Active,"INVALID_EMAIL, FUTURE_HIRE_DATE",2026-02-18 16:09:27.882563
292,helen,torres,helen.torres@analytics.com,2021-10-05,Ship broker,N/A,105000,,N/A,N/A,OH,22704,1972-01-30,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
295,Stephanie,ellis,stephanie.ellis@company.com,2023-11-15,Conference centre manager,N/A,,5047,N/A,N/A,CT,49288,1993-01-10,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
300,TAYLOR,SANDOVAL,TAYLOR.SANDOVAL@ENTERPRISE.COM,2026-09-24,Camera operator,IT,55000,9047,IT,N/A,NJ,80714,1991-07-20,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
302,Cathy,miller,cathy.miller@corp.com,2028-01-06,Trading standards officer,N/A,225000,3001,N/A,LAKE PATRICK,MH,93439,1971-09-15,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
303,ADRIANA,Johnson,adriana.johnson@analytics.com,2027-11-14,Actor,N/A,,3045,N/A,LISACHESTER,SD,04721,2001-04-26,Active,"INVALID_SALARY, FUTURE_HIRE_DATE",2026-02-18 16:09:27.882563
305,sandra,armstrong,sandra.armstrong@corp,2021-10-15,Management consultant,N/A,95000,2050,N/A,WEST JENNIFER,KY,75910,1992-07-04,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
307,JORDAN,pena,jordan.pena@corp,2019-09-27,Adult guidance worker,HR,55000,2032,HR,N/A,IN,17223,1980-03-21,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
308,Robert,WALTON,robert.walton@tech.com,2023-04-13,Immunologist,IT,90000,,IT,YOUNGSHIRE,RI,00684,1991-04-24,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
310,Daniel,Anderson,daniel.anderson@company,2027-02-16,Arts administrator,MARKETING,95000,9089,MARKETING,NEW MARGARETSIDE,MA,64987,2005-02-10,Active,"INVALID_EMAIL, FUTURE_HIRE_DATE",2026-02-18 16:09:27.882563
312,richard,CHAMBERS,richard.chambers@tech.com,2021-05-11,"Teacher, special educational needs",MARKETING,65000,,MARKETING,N/A,TN,25936,1994-05-07,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
314,connie,Bowman,connie.bowman@company,2024-09-06,Insurance underwriter,IT,75000,,IT,MARKSVIEW,HI,61156,2000-08-29,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
318,Brent,FLOWERS,brent.flowers@company.com,2024-05-20,Recycling officer,MARKETING,45000,,MARKETING,NORTH VICTORIAMOUTH,TX,07026,1999-09-26,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
322,Joseph,giles,joseph.giles@analytics.com,2021-11-04,Community pharmacist,IT,74000,,IT,PORT STACEYSIDE,NH,91667,1972-03-27,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
324,TIFFANY,Caldwell,tiffany.caldwell@enterprise.com,2023-07-25,Research scientist (medical),MARKETING,65000,,MARKETING,N/A,NC,16874,1989-10-21,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
326,HENRY,Clarke,henry.clarke@analytics,2020-04-02,Retail manager,IT,85000,,N/A,SANDYBURY,VA,82832,1976-05-04,Active,"INVALID_EMAIL, INVALID_MANAGER_ID",2026-02-18 16:09:27.882563
327,Brenda,HIGGINS,brenda.higgins@company.com,2021-07-05,Conference centre manager,MARKETING,75000,,MARKETING,LAKE BRANDON,IL,29134,1994-02-22,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
328,amanda,huynh,amanda.huynh@enterprise.com,2022-03-18,Nutritional therapist,IT,90000,,IT,EAST LAUREN,MH,58419,1975-08-25,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
329,robert,King,robert.king@analytics.com,2023-03-10,"Solicitor, Scotland",ANALYTICS,,2070,ANALYTICS,NORTH JOHN,HI,58806,1989-07-17,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
330,brian,Dunn,brian.dunn@company.com,2020-09-26,"Therapist, horticultural",MARKETING,,,N/A,NORTH BEVERLYTOWN,ME,78404,1993-04-29,Active,"INVALID_MANAGER_ID, INVALID_SALARY",2026-02-18 16:09:27.882563
334,John,holland,john.holland@company.,2021-07-01,"Physicist, medical",MARKETING,65000,5064,MARKETING,NEW BARBARAFURT,OH,95641,1989-11-17,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
335,LARRY,GARCIA,larry.garcia@analytics.com,2023-06-24,Housing manager/officer,IT,,9012,IT,SOUTH BRIANLAND,IL,50903,1996-04-30,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
339,vincent,Butler,vincent.butler@corp.com,2020-10-24,Emergency planning/management officer,IT,225000,,IT,LAKE NATHAN,MS,35029,1972-07-17,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
344,robert,Olson,robert.olson@tech.com,2020-04-07,"Programmer, multimedia",ANALYTICS,,9016,ANALYTICS,NEW JASONVILLE,NM,84670,1977-08-22,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
349,donald,garcia,DONALD.GARCIA@CORP.COM,2026-12-15,Make,SALES,45000,9047,SALES,LOPEZTOWN,MI,08093,1998-07-18,Active,FUTURE_HIRE_DATE,2026-02-18 16:09:27.882563
352,james,LESTER,james.lester@company.,2021-11-14,"Civil engineer, consulting",IT,74000,2074,IT,MARYCHESTER,CA,97783,2002-01-18,Active,INVALID_EMAIL,2026-02-18 16:09:27.882563
355,Austin,Morris,AUSTIN.MORRIS@CORP.COM,2022-03-09,Sport and exercise psychologist,HR,62100,,HR,LAKE OLIVIA,AL,42177,1983-12-22,Active,INVALID_MANAGER_ID,2026-02-18 16:09:27.882563
356,NATHAN,KING,NATHAN.KING@TECH.COM,2024-01-30,Phytotherapist,IT,,5064,N/A,NEW THOMASLAND,MD,16890,1972-01-04,Active,INVALID_SALARY,2026-02-18 16:09:27.882563
