employee_id,first_name,last_name,full_name,email,email_domain,hire_date,job_title,department,salary,salary_band,manager_id,address,city,state,zip_code,birth_date,age,tenure_years,status
30,Tina,Middleton,Tina Middleton,tina.middleton@enterprise.com,enterprise.com,2024-03-25,Horticultural consultant,IT,95000,Senior,9083,IT,THOMPSONBOROUGH,MD,60467,1971-11-05,54,1.9,Active
31,Allen,Chen,Allen Chen,allen.chen@analytics.com,analytics.com,2021-04-02,Camera operator,IT,62100,Mid,9033,IT,LAKE SAMANTHAVIEW,GA,50002,1973-05-10,52,4.9,Active
32,Phyllis,Palmer,Phyllis Palmer,phyllis.palmer@corp.com,corp.com,2021-10-25,Event organiser,IT,45000,Junior,9099,IT,SOUTH JENNIFER,ND,77295,1983-02-21,43,4.3,Active
34,Valerie,Bates,Valerie Bates,valerie.bates@company.com,company.com,2021-12-10,"Copywriter, advertising",IT,225000,Senior,3118,N/A,SARAHCHESTER,NH,39587,1992-11-14,33,4.2,Active
36,George,Schmidt,George Schmidt,george.schmidt@company.com,company.com,2023-04-14,Lobbyist,SALES,95000,Senior,5061,SALES,SOUTH JENNIFER,NE,23230,1982-02-09,44,2.9,Active
38,Angela,Baird,Angela Baird,angela.baird@company.com,company.com,2021-05-28,Film/video editor,N/A,85000,Senior,5034,N/A,LAKE DANNY,GA,14058,1974-06-26,51,4.7,Active
40,Ricardo,Ali,Ricardo Ali,ricardo.ali@analytics.com,analytics.com,2022-10-04,"Engineer, civil (contracting)",IT,62100,Mid,2001,N/A,TYLERVIEW,NM,50658,2004-06-02,21,3.4,Active
42,Amy,Wilson,Amy Wilson,amy.wilson@enterprise.com,enterprise.com,2024-11-16,Bonds trader,N/A,105000,Senior,5040,N/A,DREWSIDE,IN,53498,1993-09-05,32,1.3,Active
45,Linda,Banks,Linda Banks,linda.banks@tech.com,tech.com,2024-03-28,Automotive engineer,MARKETING,90000,Senior,2096,N/A,RYANTON,VI,88348,2000-03-13,25,1.9,Active
46,Robert,Harris,Robert Harris,robert.harris@enterprise.com,enterprise.com,2020-12-14,Television floor manager,SALES,74000,Mid,3100,N/A,N/A,DE,48197,2003-06-24,22,5.2,Active
50,Jason,Abbott,Jason Abbott,jason.abbott@corp.com,corp.com,2022-10-17,"Engineer, land",IT,65000,Mid,3036,IT,NEW DANATOWN,IN,10225,1968-07-17,57,3.3,Active
52,Charles,Johnson,Charles Johnson,charles.johnson@company.com,company.com,2024-04-28,Web designer,HR,105000,Senior,5018,HR,SMITHBURGH,AS,41259,1966-09-13,59,1.8,Active
53,Thomas,Jones,Thomas Jones,thomas.jones@tech.com,tech.com,2020-10-03,Osteopath,ANALYTICS,45000,Junior,3125,ANALYTICS,NEW WALTER,FM,89327,1985-01-13,41,5.4,Active
54,Jose,May,Jose May,jose.may@corp.com,corp.com,2024-11-04,Public relations account executive,ANALYTICS,85000,Senior,9062,ANALYTICS,WHITECHESTER,TX,02203,2004-09-11,21,1.3,Active
55,Joshua,Lopez,Joshua Lopez,joshua.lopez@tech.com,tech.com,2021-09-15,"Programmer, multimedia",N/A,85000,Senior,9056,N/A,DANIELLEFURT,ID,60017,1982-09-17,43,4.4,Active
57,John,Wright,John Wright,john.wright@enterprise.com,enterprise.com,2023-01-13,Health and safety adviser,HR,45000,Junior,3076,HR,SOUTH JERRYBURGH,MD,93998,1995-03-31,30,3.1,Active
58,Julie,Owens,Julie Owens,julie.owens@corp.com,corp.com,2021-01-25,Youth worker,IT,225000,Senior,9063,IT,SOUTH KELSEYMOUTH,LA,77217,1976-08-30,49,5.1,Active
60,Kathy,Miles,Kathy Miles,kathy.miles@tech.com,tech.com,2020-12-17,Housing manager/officer,ANALYTICS,45000,Junior,9071,ANALYTICS,KATHRYNBOROUGH,NM,33795,1965-08-09,60,5.2,Active
61,John,King,John King,john.king@company.com,company.com,2021-12-17,Human resources officer,IT,62100,Mid,5044,IT,LAKE JUSTINSTAD,MD,37297,1992-01-05,34,4.2,Active
62,Jacob,Lamb,Jacob Lamb,jacob.lamb@company.com,company.com,2020-10-28,"Engineer, petroleum",IT,90000,Senior,9009,IT,AMBERSHIRE,CT,15231,1974-04-22,51,5.3,Active
63,Justin,Nelson,Justin Nelson,justin.nelson@enterprise.com,enterprise.com,2021-11-25,"Producer, television/film/video",ANALYTICS,74000,Mid,5083,ANALYTICS,NORTH ANDREWPORT,MA,70497,1977-03-05,48,4.2,Active
64,Marcia,Olson,Marcia Olson,marcia.olson@company.com,company.com,2023-02-23,Community pharmacist,IT,225000,Senior,3033,IT,N/A,DC,39362,1978-07-31,47,3,Active
66,Wendy,Bailey,Wendy Bailey,wendy.bailey@corp.com,corp.com,2022-11-04,Professor Emeritus,SALES,65000,Mid,2075,SALES,LAKE EDWARDTOWN,TX,60091,1974-07-17,51,3.3,Active
67,Patrick,Marshall,Patrick Marshall,patrick.marshall@enterprise.com,enterprise.com,2021-07-01,Proofreader,SALES,105000,Senior,9027,N/A,SMITHBERG,OH,30538,1978-07-28,47,4.6,Active
69,Cheryl,Williams,Cheryl Williams,cheryl.williams@company.com,company.com,2023-07-20,"Programme researcher, broadcasting/film/video",HR,225000,Senior,3016,HR,SOUTH JOE,UT,72945,1967-04-20,58,2.6,Active
70,Joshua,Murphy,Joshua Murphy,joshua.murphy@analytics.com,analytics.com,2020-11-20,Chief Executive Officer,N/A,55000,Mid,3132,N/A,MEDINAHAVEN,PR,36602,1975-01-15,51,5.2,Active
71,Adrienne,Graves,Adrienne Graves,adrienne.graves@company.com,company.com,2022-10-01,"Clinical scientist, histocompatibility and immunogenetics",SALES,105000,Senior,2088,SALES,N/A,AZ,29394,1999-04-30,26,3.4,Active
72,Michael,Miller,Michael Miller,michael.miller@analytics.com,analytics.com,2020-07-15,Agricultural engineer,ANALYTICS,75000,Mid,5010,N/A,EAST APRILMOUTH,DC,29516,1973-04-12,52,5.6,Active
73,Maria,Harrison,Maria Harrison,maria.harrison@company.com,company.com,2020-09-25,Fine artist,HR,90000,Senior,2033,N/A,N/A,WA,50058,1966-06-02,59,5.4,Active
76,Mark,Sullivan,Mark Sullivan,mark.sullivan@analytics.com,analytics.com,2023-07-31,Seismic interpreter,N/A,90000,Senior,2007,N/A,ADAMBURY,AS,23689,1992-09-30,33,2.6,Active
78,Thomas,Rodriguez,Thomas Rodriguez,thomas.rodriguez@enterprise.com,enterprise.com,2021-07-20,Clinical psychologist,ANALYTICS,90000,Senior,3045,N/A,RONALDPORT,WY,57570,1967-01-01,59,4.6,Active
79,Brianna,Wolf,Brianna Wolf,brianna.wolf@analytics.com,analytics.com,2025-05-26,Data processing manager,IT,225000,Senior,3000,N/A,DARRELLVIEW,SC,43273,1973-11-13,52,0.7,Active
80,Melinda,Burns,Melinda Burns,melinda.burns@company.com,company.com,2021-07-06,"Psychologist, occupational",IT,95000,Senior,9025,IT,DAVISVILLE,KY,24050,1992-03-11,33,4.6,Active
81,Ryan,Johnson,Ryan Johnson,ryan.johnson@analytics.com,analytics.com,2021-07-26,Research scientist (maths),IT,74000,Mid,2054,IT,HEIDISHIRE,VA,76140,1976-10-21,49,4.6,Active
82,Tamara,Lewis,Tamara Lewis,tamara.lewis@analytics.com,analytics.com,2022-01-30,Interpreter,HR,62100,Mid,9064,HR,EAST VERONICA,FM,05444,1972-02-04,54,4.1,Active
83,Leslie,Conway,Leslie Conway,leslie.conway@company.com,company.com,2022-09-04,Photographer,MARKETING,45000,Junior,3147,MARKETING,N/A,OR,26849,1969-09-14,56,3.5,Active
86,Marcus,Owens,Marcus Owens,marcus.owens@tech.com,tech.com,2021-12-08,Audiological scientist,MARKETING,105000,Senior,9070,N/A,SANCHEZBOROUGH,FM,28355,1973-03-06,52,4.2,Active
88,Elizabeth,Evans,Elizabeth Evans,elizabeth.evans@company.com,company.com,2024-09-06,"Radiographer, diagnostic",MARKETING,55000,Mid,5018,N/A,N/A,SC,50789,1994-11-02,31,1.5,Active
89,Ryan,Johnson,Ryan Johnson,ryan.johnson@company.com,company.com,2022-04-14,"Engineer, building services",HR,45000,Junior,5015,HR,JENNIFERPORT,ID,91991,2001-05-28,24,3.9,Active
91,Lindsay,Snyder,Lindsay Snyder,lindsay.snyder@tech.com,tech.com,2024-10-28,Corporate treasurer,IT,105000,Senior,9006,IT,SOUTH ROBIN,ID,16956,1988-07-07,37,1.3,Active
93,Kimberly,Garcia,Kimberly Garcia,kimberly.garcia@enterprise.com,enterprise.com,2023-02-15,Television floor manager,N/A,62100,Mid,3141,N/A,LAKE STEPHANIEBOROUGH,CA,96776,1987-01-18,39,3,Active
94,Michael,Gardner,Michael Gardner,michael.gardner@tech.com,tech.com,2024-10-28,Holiday representative,N/A,95000,Senior,2078,N/A,STANTONCHESTER,IA,23405,1981-06-02,44,1.3,Active
97,John,Cannon,John Cannon,john.cannon@tech.com,tech.com,2023-10-28,Forensic psychologist,MARKETING,74000,Mid,5062,MARKETING,MORENOBERG,AK,53045,1987-07-21,38,2.3,Active
98,Jeremy,Santiago,Jeremy Santiago,jeremy.santiago@analytics.com,analytics.com,2021-02-26,"Teacher, secondary school",IT,85000,Senior,2058,IT,N/A,OR,19840,1997-09-03,28,5,Active
99,Shelly,Torres,Shelly Torres,shelly.torres@corp.com,corp.com,2021-03-19,"Conservator, museum/gallery",N/A,74000,Mid,2100,N/A,N/A,FM,48290,1971-05-18,54,4.9,Active
100,Emma,Shepherd,Emma Shepherd,emma.shepherd@corp.com,corp.com,2019-12-13,Economist,IT,65000,Mid,2061,IT,SOUTH SCOTT,TX,86918,2001-02-27,24,6.2,Active
101,Catherine,Davis,Catherine Davis,catherine.davis@tech.com,tech.com,2023-06-18,"Sales professional, IT",SALES,45000,Junior,2031,SALES,MORENOBOROUGH,FM,89572,1989-07-08,36,2.7,Active
103,Kayla,Wolf,Kayla Wolf,kayla.wolf@tech.com,tech.com,2020-05-31,Furniture conservator/restorer,ANALYTICS,75000,Mid,2078,ANALYTICS,PHILIPFORT,CO,93959,2001-09-06,24,5.7,Active
104,Linda,Fuller,Linda Fuller,linda.fuller@tech.com,tech.com,2022-01-03,Hydrogeologist,N/A,225000,Senior,9007,N/A,NORTH TONYVIEW,MS,86286,1973-01-17,53,4.1,Active
105,Hannah,Wells,Hannah Wells,hannah.wells@corp.com,corp.com,2025-03-11,Logistics and distribution manager,N/A,62100,Mid,2092,N/A,PARKERMOUTH,GU,41533,1970-07-25,55,0.9,Active
107,Jamie,Pope,Jamie Pope,jamie.pope@enterprise.com,enterprise.com,2020-05-31,Community pharmacist,IT,55000,Mid,9070,IT,SALAZARBOROUGH,NY,56295,2002-08-08,23,5.7,Active
108,Marie,Paul,Marie Paul,marie.paul@analytics.com,analytics.com,2019-02-19,Animal nutritionist,ANALYTICS,65000,Mid,5076,ANALYTICS,WEST RANDYFORT,UT,43721,1981-12-15,44,7,Active
109,Jeffrey,Robinson,Jeffrey Robinson,jeffrey.robinson@tech.com,tech.com,2023-04-07,Health and safety adviser,SALES,75000,Mid,3032,N/A,SOUTH FRANKLINBURY,RI,15696,1980-09-20,45,2.9,Active
111,Stephanie,Stewart,Stephanie Stewart,stephanie.stewart@enterprise.com,enterprise.com,2022-08-17,Futures trader,N/A,74000,Mid,2006,N/A,N/A,MA,27313,2004-11-08,21,3.5,Active
112,David,Singleton,David Singleton,david.singleton@analytics.com,analytics.com,2023-12-06,"Engineer, materials",SALES,225000,Senior,9089,N/A,NORTH DANIEL,WV,63344,1966-06-20,59,2.2,Active
113,Julia,Davis,Julia Davis,julia.davis@tech.com,tech.com,2024-12-22,"Surveyor, planning and development",SALES,95000,Senior,5023,SALES,MOOREVILLE,RI,01399,1983-10-26,42,1.2,Active
114,Isaiah,Hendricks,Isaiah Hendricks,isaiah.hendricks@analytics.com,analytics.com,2023-07-08,"Engineer, water",ANALYTICS,85000,Senior,9042,ANALYTICS,BENJAMINBURY,CT,94730,1982-12-12,43,2.6,Active
115,Rebecca,Gonzalez,Rebecca Gonzalez,rebecca.gonzalez@company.com,company.com,2023-06-05,"Surveyor, land/geomatics",HR,95000,Senior,9087,HR,LISABURGH,LA,62627,1975-08-31,50,2.7,Active
116,Richard,Montoya,Richard Montoya,richard.montoya@tech.com,tech.com,2024-02-11,Hydrogeologist,MARKETING,74000,Mid,3021,MARKETING,N/A,WV,64293,1972-07-04,53,2,Active
117,Jennifer,Hubbard,Jennifer Hubbard,jennifer.hubbard@tech.com,tech.com,2023-11-07,Historic buildings inspector/conservation officer,N/A,95000,Senior,5052,N/A,NORTH PAUL,DC,95608,1980-08-24,45,2.3,Active
118,Anna,Ramsey,Anna Ramsey,anna.ramsey@analytics.com,analytics.com,2024-09-12,"Embryologist, clinical",ANALYTICS,62100,Mid,3014,ANALYTICS,SOUTH STEVE,NJ,64831,1986-02-23,40,1.4,Active
119,Barry,Porter,Barry Porter,barry.porter@corp.com,corp.com,2022-07-08,Fitness centre manager,IT,225000,Senior,3076,IT,ANGELAVIEW,ME,65695,1974-01-20,52,3.6,Active
120,David,Herrera,David Herrera,david.herrera@enterprise.com,enterprise.com,2023-04-12,Corporate investment banker,ANALYTICS,74000,Mid,5080,ANALYTICS,ZIMMERMANBOROUGH,NY,51926,1997-01-18,29,2.9,Active
121,Joanna,Parker,Joanna Parker,joanna.parker@company.com,company.com,2020-02-18,Training and development officer,IT,45000,Junior,9091,IT,SOUTH ALLISONPORT,OH,84994,2000-09-22,25,6,Active
122,Latoya,Bell,Latoya Bell,latoya.bell@company.com,company.com,2021-05-04,Advertising copywriter,MARKETING,62100,Mid,5036,MARKETING,N/A,AK,17364,1979-09-30,46,4.8,Active
123,James,Bell,James Bell,james.bell@corp.com,corp.com,2025-01-12,Volunteer coordinator,SALES,225000,Senior,2032,N/A,NEW JANE,AS,81344,2004-07-07,21,1.1,Active
125,Sharon,Vaughan,Sharon Vaughan,sharon.vaughan@enterprise.com,enterprise.com,2021-01-01,"Psychotherapist, child",SALES,74000,Mid,9083,N/A,N/A,MD,50001,1995-10-18,30,5.1,Active
126,Amy,Wilkerson,Amy Wilkerson,amy.wilkerson@corp.com,corp.com,2021-12-17,Bonds trader,IT,45000,Junior,2091,N/A,LOGANSHIRE,CT,43825,1994-04-10,31,4.2,Active
127,David,Murray,David Murray,david.murray@enterprise.com,enterprise.com,2025-04-18,Advertising art director,N/A,62100,Mid,2088,N/A,REEDHAVEN,NC,36914,1971-12-14,54,0.8,Active
132,Mark,Garner,Mark Garner,mark.garner@enterprise.com,enterprise.com,2021-02-25,Educational psychologist,SALES,225000,Senior,5090,SALES,JORDANPORT,ME,21629,1982-03-28,43,5,Active
133,Madison,Armstrong,Madison Armstrong,madison.armstrong@corp.com,corp.com,2025-11-27,Farm manager,N/A,65000,Mid,3098,N/A,EAST DENISE,MH,93633,1982-06-28,43,0.2,Active
135,Barbara,Conner,Barbara Conner,barbara.conner@analytics.com,analytics.com,2021-03-16,Associate Professor,IT,65000,Mid,2017,IT,PORT MARGARETTON,AK,45085,1989-12-27,36,4.9,Active
136,Troy,Lucas,Troy Lucas,troy.lucas@corp.com,corp.com,2020-07-19,Theatre stage manager,IT,95000,Senior,5080,IT,PORT KEVIN,ND,35390,1991-01-31,35,5.6,Active
138,Jennifer,Bailey,Jennifer Bailey,jennifer.bailey@analytics.com,analytics.com,2023-03-02,Public house manager,IT,90000,Senior,5079,N/A,ALANTOWN,AL,18067,2001-10-12,24,3,Active
141,Tyler,Mitchell,Tyler Mitchell,tyler.mitchell@tech.com,tech.com,2021-08-27,Web designer,IT,85000,Senior,2021,N/A,BRADYSTAD,PW,02188,1968-08-28,57,4.5,Active
146,Tony,Morse,Tony Morse,tony.morse@tech.com,tech.com,2021-09-03,Office manager,IT,62100,Mid,2053,IT,N/A,AR,79446,1970-04-11,55,4.5,Active
147,Lynn,Scott,Lynn Scott,lynn.scott@analytics.com,analytics.com,2020-12-19,Travel agency manager,ANALYTICS,62100,Mid,5008,ANALYTICS,NELSONLAND,MT,02488,1977-12-26,48,5.2,Active
149,Brandon,Morton,Brandon Morton,brandon.morton@company.com,company.com,2025-01-08,Media buyer,ANALYTICS,75000,Mid,5001,ANALYTICS,CARNEYSTAD,NM,16471,2002-06-13,23,1.1,Active
151,Jacqueline,Werner,Jacqueline Werner,jacqueline.werner@analytics.com,analytics.com,2025-01-12,"Clinical scientist, histocompatibility and immunogenetics",N/A,225000,Senior,9000,N/A,KRYSTALBOROUGH,LA,66202,1972-12-10,53,1.1,Active
152,Molly,Rollins,Molly Rollins,molly.rollins@analytics.com,analytics.com,2021-02-27,Hydrologist,N/A,105000,Senior,5034,N/A,PATRICIABOROUGH,AK,76948,1994-01-13,32,5,Active
155,James,Silva,James Silva,james.silva@enterprise.com,enterprise.com,2021-10-04,"Conservator, museum/gallery",IT,95000,Senior,5047,N/A,N/A,DE,15807,1998-03-16,27,4.4,Active
156,Susan,Smith,Susan Smith,susan.smith@company.com,company.com,2024-04-11,"Pharmacist, hospital",IT,85000,Senior,3055,IT,COLLIERPORT,OK,02067,1993-12-10,32,1.9,Active
159,Timothy,Thompson,Timothy Thompson,timothy.thompson@enterprise.com,enterprise.com,2021-02-04,Ranger/warden,IT,55000,Mid,2006,IT,SULLIVANSHIRE,AS,28722,1984-11-21,41,5,Active
161,Anthony,Hall,Anthony Hall,anthony.hall@company.com,company.com,2019-03-29,Gaffer,IT,74000,Mid,2030,N/A,N/A,MD,05623,1983-02-03,43,6.9,Active
163,Tiffany,Conway,Tiffany Conway,tiffany.conway@analytics.com,analytics.com,2024-04-05,"Chemist, analytical",HR,85000,Senior,9018,HR,N/A,TX,83463,1974-08-26,51,1.9,Active
164,Alicia,Parker,Alicia Parker,alicia.parker@tech.com,tech.com,2021-07-05,Regulatory affairs officer,HR,55000,Mid,3007,HR,RODRIGUEZFORT,FL,91673,1978-05-07,47,4.6,Active
165,Regina,Galloway,Regina Galloway,regina.galloway@company.com,company.com,2021-02-08,"Teacher, secondary school",IT,85000,Senior,2097,N/A,LAKE VERNON,AL,86841,1986-04-17,39,5,Active
167,Jacob,Ross,Jacob Ross,jacob.ross@corp.com,corp.com,2022-06-09,Research scientist (maths),IT,65000,Mid,3102,IT,COLLINSMOUTH,NJ,24210,1979-10-19,46,3.7,Active
169,Javier,Jackson,Javier Jackson,javier.jackson@tech.com,tech.com,2023-04-02,"Therapist, drama",SALES,85000,Senior,2011,SALES,PORT MICHAEL,KS,97706,1992-06-17,33,2.9,Active
170,Jose,Walsh,Jose Walsh,jose.walsh@enterprise.com,enterprise.com,2020-09-25,International aid/development worker,N/A,62100,Mid,5090,N/A,N/A,MO,25560,1975-06-03,50,5.4,Active
174,Dana,Smith,Dana Smith,dana.smith@company.com,company.com,2020-03-10,"Pharmacist, hospital",SALES,225000,Senior,3128,SALES,SCOTTBURGH,NM,22459,1982-05-01,43,5.9,Active
175,Austin,Marquez,Austin Marquez,austin.marquez@corp.com,corp.com,2021-04-29,"Engineer, communications",IT,90000,Senior,9039,IT,PATRICIASIDE,CO,53971,1987-05-17,38,4.8,Active
176,Luke,Williams,Luke Williams,luke.williams@company.com,company.com,2020-04-17,Product/process development scientist,IT,95000,Senior,9074,IT,TERRIMOUTH,TX,40809,1993-12-18,32,5.8,Active
177,Michael,Murray,Michael Murray,michael.murray@company.com,company.com,2022-12-06,Set designer,HR,85000,Senior,3057,HR,N/A,IN,91343,1980-01-08,46,3.2,Active
178,Matthew,Henry,Matthew Henry,matthew.henry@company.com,company.com,2020-09-27,"Engineer, broadcasting (operations)",ANALYTICS,85000,Senior,5023,ANALYTICS,LAKE JACOB,NM,47053,1976-04-07,49,5.4,Active
179,Robert,Boyd,Robert Boyd,robert.boyd@analytics.com,analytics.com,2021-11-19,"Designer, jewellery",N/A,85000,Senior,9034,N/A,EAST BRYANBERG,NE,71218,1990-10-27,35,4.3,Active
182,Charles,Chen,Charles Chen,charles.chen@tech.com,tech.com,2020-07-08,Land/geomatics surveyor,N/A,55000,Mid,2066,N/A,N/A,KS,77026,2003-12-18,22,5.6,Active
183,Erik,Price,Erik Price,erik.price@corp.com,corp.com,2022-01-15,Lawyer,N/A,105000,Senior,2010,N/A,MULLINSTON,MT,34349,1974-02-06,52,4.1,Active
184,Scott,Sanford,Scott Sanford,scott.sanford@analytics.com,analytics.com,2024-09-22,Geoscientist,SALES,62100,Mid,5096,SALES,JOHNCHESTER,WV,22274,1982-11-08,43,1.4,Active
185,Casey,Manning,Casey Manning,casey.manning@analytics.com,analytics.com,2024-06-14,Call centre manager,SALES,55000,Mid,3130,SALES,NEW CHARLENELAND,VA,32969,2002-03-12,23,1.7,Active
186,Wayne,Perez,Wayne Perez,wayne.perez@company.com,company.com,2023-07-12,Technical sales engineer,MARKETING,95000,Senior,2033,MARKETING,N/A,VT,81662,1985-11-15,40,2.6,Active
189,Kristen,Lopez,Kristen Lopez,kristen.lopez@company.com,company.com,2023-12-02,"Therapist, horticultural",SALES,65000,Mid,9022,N/A,EAST KELLY,ID,08600,1976-10-18,49,2.2,Active
190,Charles,Graves,Charles Graves,charles.graves@company.com,company.com,2021-06-21,General practice doctor,IT,95000,Senior,9060,IT,N/A,TN,20136,1992-12-11,33,4.7,Active
191,Jim,Hill,Jim Hill,jim.hill@company.com,company.com,2025-10-06,"Conservator, furniture",SALES,62100,Mid,3147,SALES,NORTH ALICIAVIEW,PA,90545,1990-01-21,36,0.4,Active
193,Joseph,Thomas,Joseph Thomas,joseph.thomas@analytics.com,analytics.com,2021-03-11,Electronics engineer,IT,45000,Junior,9031,IT,ROBERTSFORT,AK,04888,1967-03-14,58,4.9,Active
194,Jackie,Harrison,Jackie Harrison,jackie.harrison@company.com,company.com,2020-08-10,Clinical cytogeneticist,N/A,225000,Senior,2026,N/A,CAREYFORT,KY,87194,1968-07-13,57,5.5,Active
195,Michelle,Griffith,Michelle Griffith,michelle.griffith@corp.com,corp.com,2020-03-14,Emergency planning/management officer,N/A,85000,Senior,2085,N/A,NORTH SUSAN,WV,54467,1986-10-09,39,5.9,Active
196,Erika,Ramos,Erika Ramos,erika.ramos@enterprise.com,enterprise.com,2021-02-03,"Horticulturist, commercial",HR,65000,Mid,9084,HR,WILLIAMSTON,AK,38045,1973-08-18,52,5,Active
198,Brian,Pace,Brian Pace,brian.pace@enterprise.com,enterprise.com,2021-04-15,Seismic interpreter,SALES,95000,Senior,5026,SALES,NORTH ELIZABETHBOROUGH,IL,24983,2004-06-19,21,4.8,Active
199,Henry,Thompson,Henry Thompson,henry.thompson@company.com,company.com,2024-01-03,Armed forces logistics/support/administrative officer,SALES,45000,Junior,9038,SALES,WEST DANIELMOUTH,NJ,21685,1993-04-08,32,2.1,Active
200,David,Jones,David Jones,david.jones@tech.com,tech.com,2020-12-13,"Exhibitions officer, museum/gallery",HR,55000,Mid,5062,HR,MARIABOROUGH,CT,76200,1973-11-13,52,5.2,Active
202,Erik,Smith,Erik Smith,erik.smith@company.com,company.com,2021-01-27,"Administrator, Civil Service",N/A,105000,Senior,5033,N/A,CAITLINBURGH,LA,41702,1981-05-12,44,5.1,Active
204,John,Stuart,John Stuart,john.stuart@enterprise.com,enterprise.com,2020-05-02,Metallurgist,IT,95000,Senior,9085,IT,SOUTH SCOTTTON,MP,91646,1975-06-29,50,5.8,Active
