employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
129,DAVID,Hull,david.hull@corp.com,2025-07-04,Communications engineer,Analytics,,9089,"98181 Williams Mission Suite 338 Gabrielshire, ND 69804",South Brian,ND,43725,1996-06-30,Active
1125,edward,davis,edward.davis@company.com,2020-11-07,Speech and language therapist,IT,"$105,000",9075,"PSC 9322, Box 4916 APO AE 28184",Charlesstad,UT,52579,1997-03-12,Active
2574,Timothy,Craig,timothy.craig@analytics.com,2022-01-08,"Engineer, technical sales",Marketing,"$75,000",2041,"4865 Erika Well Port Jason, SD 99045",Lake Kimstad,HI,32439,1995-10-19,Active
73,maria,HARRISON,maria.harrison@company.com,2020-09-25,Fine artist,HR,$90000,2033,,,WA,50058,1966-06-02,Active
398,Bradley,LAWSON,bradley.lawson@enterprise.com,2021-02-16,Air traffic controller,Marketing,"$95,000",3000,"7943 Jackson Burg Beltranstad, AZ 70046",South Mark,CA,51615,1969-05-25,Active
1403,Nathan,Knight,nathan.knight@company.com,2020-06-25,"Journalist, broadcasting",IT,,9014,"421 Jacob Passage Megantown, NH 18343",Walshmouth,MI,33810,1974-06-06,Active
314,connie,Bowman,connie.bowman@company,2024-09-06,Insurance underwriter,IT,"$75,000",,"783 White Valleys Jamesview, AZ 44784",Marksview,HI,61156,2000-08-29,Active
2751,wyatt,SMITH,wyatt.smith@analytics.com,2023-03-13,"Accountant, chartered certified",IT,"$45,000",,,,MO,05996,1977-01-26,Active
931,JENNA,miller,jenna.miller@company.com,2022-08-25,"Scientist, forensic",Marketing,$90000,,"PSC 9187, Box 4089 APO AP 80576",Roberthaven,NV,81451,1978-12-08,Active
1353,ROBERT,Kelly,robert.kelly@enterprise.com,2021-07-16,Trade union research officer,Marketing,"$95,000",9067,"3817 Veronica Garden Apt. 577 Morganfurt, OK 97959",Terrellchester,AK,86451,1990-07-16,Active
2429,sarah,wu,SARAH.WU@COMPANY.COM,2021-05-24,General practice doctor,SALES,"$105,000",,"441 Brown Garden Lake Brent, NV 86693",North Julianshire,NJ,59424,1994-08-18,Active
2299,richard,Hudson,RICHARD.HUDSON@CORP.COM,2021-01-18,Chartered loss adjuster,IT,"55,000",2050,,North Jamesberg,HI,52148,1970-06-16,Active
531,Joshua,Patterson,joshua.patterson@company.com,2022-03-29,Drilling engineer,it,,9072,,Andreaton,IL,42516,1994-04-26,Active
898,Linda,MURPHY,linda.murphy@tech.com,2024-12-03,"Scientist, marine",SALES,"$95,000",2054,"35994 Wilson Inlet Apt. 357 North Amyport, SD 49838",South Rachelburgh,CA,77509,1967-09-30,Active
2910,vanessa,LONG,vanessa.long@tech.com,2022-02-18,Press photographer,IT,"$75,000",,"28836 Madeline Streets Port Peter, MD 68221",North Derrickport,MS,45018,2004-07-07,Active
1409,alejandro,roman,alejandro.roman@company.com,2024-08-15,Marine scientist,HR,"$225,000",3044,"91149 Scott Mountains Morganside, KY 07753",Jamesburgh,NM,47634,1992-10-31,Active
180,timothy,clark,TIMOTHY.CLARK@COMPANY.COM,2022-02-21,Make,HR,"$62,100",,,Bowersville,MD,64202,1983-02-01,Active
1337,jennifer,Woods,jennifer.woods@corp.com,2023-02-18,Sub,HR,"$62,100",,"2107 Tonya Ridge Suite 738 Amyton, MP 87459",South Josephtown,NC,85183,1983-03-21,Active
1676,JACOB,Patel,jacob.patel@analytics.com,2022-12-08,Child psychotherapist,,"55,000",,"81724 Jason Streets Burtonhaven, NY 53199",Jordanmouth,UT,89020,2004-01-03,Active
158,david,WRIGHT,david.wright@company.com,2022-08-16,"Pilot, airline",,"$85,000",,"0933 Simpson Mission Apt. 142 Powellchester, CO 74506",North Kevinshire,AS,72751,1966-06-14,Active
2268,courtney,Baker,courtney.baker@enterprise.com,2020-04-07,Manufacturing engineer,HR,"$95,000",3002,,Jessicashire,NE,85789,1986-09-15,Active
2448,Jessica,gill,jessica.gill@tech.com,2021-12-07,Web designer,SALES,"$95,000",2009,"PSC 8256, Box 1423 APO AA 25964",New William,LA,84471,1997-11-18,Active
86,marcus,owens,marcus.owens@tech.com,2021-12-08,Audiological scientist,Marketing,"$105,000",9070,,Sanchezborough,FM,28355,1973-03-06,Active
121,Joanna,Parker,JOANNA.PARKER@COMPANY.COM,2020-02-18,Training and development officer,IT,"$45,000",9091,"721 Michelle Square Apt. 719 Port Melissatown, PA 97593",South Allisonport,OH,84994,2000-09-22,Active
1381,YOLANDA,perkins,yolanda.perkins@tech.com,2022-02-18,Trading standards officer,HR,$90000,5005,"94391 Duran Brook New Maria, WA 02516",Fishertown,IL,77375,1983-04-12,Active
2507,BRIAN,Jackson,brian.jackson@company,2023-10-28,Homeopath,HR,"$62,100",3054,"6963 Jeremy Cove Toddberg, CA 29689",Port Kristine,DC,98818,1975-06-17,Active
787,Stephen,sutton,stephen.sutton@company.com,2020-11-03,Building control surveyor,Analytics,"$85,000",2047,"9894 Patricia Centers Suite 219 Port Diane, AK 71213",Amandaberg,MS,24171,1988-09-24,Active
2740,JOSEPH,Saunders,joseph.saunders@enterprise.com,2023-09-13,Herbalist,HR,"55,000",9008,,Lesliechester,FM,21767,1975-11-01,Active
503,richard,bridges,RICHARD.BRIDGES@ENTERPRISE.COM,2023-06-03,Merchant navy officer,IT,65000,,"4097 Tammy Rue Apt. 750 Julieburgh, PW 46517",South Kristina,UT,71237,1969-11-24,Active
1026,justin,ANDERSON,justin.anderson@company.com,2024-04-03,Location manager,IT,"$62,100",,"80555 Burton Bypass West Ashley, MS 13139",,PW,15863,1968-04-20,Active
420,Jerry,Brown,JERRY.BROWN@ANALYTICS.COM,2019-03-05,Actor,,"$74,000",,"6816 Scott Mountain Newmanmouth, NH 14713",Nelsonchester,CA,89189,1980-05-14,Active
115,Rebecca,Gonzalez,rebecca.gonzalez@company.com,2023-06-05,"Surveyor, land/geomatics",HR,"$95,000",9087,"303 Bill Rue Apt. 137 North Whitney, IL 58021",Lisaburgh,LA,62627,1975-08-31,Active
2198,andrew,woodard,andrew.woodard@corp.com,2022-01-11,Location manager,Marketing,"$95,000",,"583 Benjamin Forges Suite 879 Port Dawn, FM 67506",Gutierrezville,KY,31138,1965-11-14,Active
1463,LORRAINE,WILCOX,lorraine.wilcox@company.com,2023-10-03,IT sales professional,,$90000,,,Tonymouth,IN,79649,1996-03-05,Active
1437,Tonya,Hanson,tonya.hanson@tech.com,2021-01-23,Occupational psychologist,SALES,"$74,000",3120,Unit 9511 Box 2035 DPO AA 49291,New Donna,MH,77639,1985-05-25,Active
2743,NICHOLAS,figueroa,nicholas.figueroa@analytics.com,2024-12-19,Air cabin crew,Analytics,"$74,000",9012,"6050 Olivia Mall Apt. 533 East Jacobfort, MH 41182",Lake Amber,OK,49395,1966-02-15,Active
2730,ROBERTO,Torres,roberto.torres@enterprise.com,2022-07-17,"Scientist, physiological",IT,"$105,000",9036,"0056 Martha Roads Apt. 249 Lake Markton, AL 82024",West Tammy,CA,96664,1999-01-14,Active
2088,Jessica,Holmes,jessica.holmes@company.com,2021-03-27,Data processing manager,,,9027,"083 Cynthia Meadow Petersenbury, AS 57785",Watsonhaven,IL,90180,2004-10-26,Active
1764,JENNIFER,Gardner,jennifer.gardner@tech.com,2023-07-12,Podiatrist,Marketing,"$62,100",,,Port Miguelport,AS,44728,1995-04-26,Active
1920,Alexander,WEBB,ALEXANDER.WEBB@ENTERPRISE.COM,2020-08-16,Proofreader,SALES,"$45,000",5053,,Kingtown,MN,41865,1967-02-14,Active
1101,Kyle,foster,kyle.foster@company.,2019-07-07,Clothing/textile technologist,IT,"$62,100",,,Wadeview,CA,92843,1975-03-27,Active
2680,grace,cunningham,GRACE.CUNNINGHAM@TECH.COM,2027-05-11,Accommodation manager,Marketing,"$75,000",5070,"4311 Shawn Fort Port Samuelborough, CA 49604",East Dawnstad,MH,94001,1975-04-09,Active
1608,MARGARET,roberts,margaret.roberts@corp.com,2027-07-20,Curator,HR,"$45,000",,"4408 Grace Oval Apt. 601 South Ginaside, IL 35041",New Lauren,FL,40593,1985-01-11,Active
1322,ANDREW,king,andrew.king@enterprise.com,2021-01-16,"Geneticist, molecular",,"$75,000",3016,"58898 Hurley Centers Briannahaven, KS 68932",Longberg,MS,51954,1969-10-11,Active
551,justin,Campbell,justin.campbell@tech.com,2023-04-03,Science writer,Marketing,65000,3028,"866 Hill Village Suite 802 North Ryanberg, FM 56186",Port Kara,IN,76100,1996-07-22,Active
58,julie,Owens,julie.owens@corp.com,2021-01-25,Youth worker,it,"$225,000",9063,"223 Hernandez Dale Port Ryanfort, NY 74594",South Kelseymouth,LA,77217,1976-08-30,Active
528,MARY,Richards,mary.richards@corp.com,2020-09-21,Ship broker,HR,"$105,000",9042,"69875 Danielle Well Bernardport, NJ 40602",New Kathrynmouth,NJ,96339,1977-06-02,Active
2943,ROBIN,mahoney,robin.mahoney@analytics.com,2021-05-18,Regulatory affairs officer,Analytics,65000,5037,"6088 Ryan Course Derekland, KY 82891",Desireeland,MH,82218,1975-09-30,Active
399,amy,GOODWIN,amy.goodwin@corp,2020-07-10,Water quality scientist,Marketing,"$105,000",9013,,Valenciabury,DE,41161,2002-08-20,Active
1356,NANCY,SMITH,nancy.smith@enterprise.com,2023-08-25,Water quality scientist,,"$225,000",3064,"6544 Larry Ramp Heathmouth, SD 07128",New Shawn,ME,23729,1969-04-22,Active
1192,CHRISTOPHER,vaughn,CHRISTOPHER.VAUGHN@ANALYTICS.COM,2021-11-26,Landscape architect,Marketing,,5027,"484 Yolanda Stream North Erikberg, CA 65521",Nicholasborough,MT,79277,1987-07-12,Active
2503,Dillon,Dominguez,dillon.dominguez@analytics.com,2024-07-21,Actuary,HR,"$45,000",9088,"9795 Hines Club Petersenmouth, WA 56663",Stephaniefort,UT,60255,1977-12-29,Active
2310,George,carrillo,GEORGE.CARRILLO@CORP.COM,2021-10-22,"Engineer, automotive",Marketing,"$85,000",3146,"8930 Meyer Forges Johnsonmouth, MT 71630",Sharpfort,MS,47393,2003-04-28,Active
2638,CHRISTOPHER,Cline,christopher.cline@enterprise.com,2022-10-26,"Psychologist, counselling",Marketing,"55,000",5080,"7620 Jason Row Suite 736 Trevorshire, UT 81807",Lake Cassandra,AS,20636,1967-09-11,Active
1430,KRISTIN,PETERS,kristin.peters@analytics.com,2024-01-24,Animal technologist,Analytics,"$95,000",9035,,,NV,95483,1994-03-12,Active
1224,KAITLYN,perez,kaitlyn.perez@corp,2022-12-24,Actuary,Marketing,"$105,000",5028,"4434 Nancy Ridges Whitemouth, MT 79701",Milesmouth,ID,59565,2002-02-20,Active
2845,DOMINIQUE,Watson,DOMINIQUE.WATSON@ENTERPRISE.COM,2019-11-05,Secretary/administrator,Analytics,"55,000",2011,"1778 Cody Green Apt. 868 Allenchester, DE 75703",Jacksonhaven,IL,75959,1966-02-18,Active
1525,CHRISTOPHER,Simpson,christopher.simpson@analytics.com,2021-09-14,"Librarian, public",,$90000,5082,"42431 Cunningham Extensions Suite 989 East Christopherstad, WI 43765",Leefurt,IA,03968,2004-03-04,Active
2596,DANIEL,Miller,DANIEL.MILLER@ANALYTICS.COM,2024-08-18,Careers adviser,Analytics,"$74,000",5072,"8915 Vargas Underpass New Latoyaport, FL 05558",West Joseberg,KS,97911,1982-07-02,Active
1813,angela,SANTOS,angela.santos@enterprise.com,2024-11-30,Illustrator,HR,"$95,000",5014,,Marioton,CT,51764,1993-10-24,Active
2847,KATHLEEN,edwards,kathleen.edwards@enterprise.com,2021-12-12,"Nurse, learning disability",SALES,$90000,9011,"5167 Alvarado Coves Devinbury, GU 73809",Port Justinville,PW,47787,1991-07-02,Active
2761,Matthew,brown,matthew.brown@analytics.com,2020-09-10,Clinical cytogeneticist,HR,,,"4449 Zachary Mission Carloshaven, KS 36379",Gailton,GU,46965,1974-05-31,Active
1243,david,Wilson,david.wilson@tech.com,2023-12-22,Horticultural therapist,Analytics,"$74,000",3086,USNV Baker FPO AP 84656,Lake Emmafort,FL,18350,1981-10-15,Active
1784,MITCHELL,BROWN,mitchell.brown@analytics.com,2026-03-13,"Therapist, sports",it,"$75,000",2044,"965 Odom Fall Apt. 056 Alexanderville, VI 83727",New Nicolefurt,CT,76997,1981-01-10,Active
400,jeremy,Weaver,jeremy.weaver@enterprise.com,2021-04-06,Arboriculturist,Marketing,"$75,000",5045,Unit 9960 Box 0465 DPO AP 87706,Clarkstad,NJ,28136,1965-12-24,Active
2830,christopher,schwartz,christopher.schwartz@tech.com,2023-05-25,Town planner,it,"$225,000",2090,"02693 Donna Drive Armstrongshire, ND 24512",,MO,21061,2001-10-19,Active
2216,cynthia,Barber,cynthia.barber@company.com,2021-02-28,Press sub,it,$90000,5049,"25393 Moyer Corners East Aaron, VT 06742",Coleburgh,MH,34615,1978-12-21,Active
2803,samantha,underwood,samantha.underwood@tech.com,2020-12-26,Clinical embryologist,HR,"$45,000",3123,"28915 Mcintosh Terrace Apt. 123 New Monique, MN 85416",,HI,92903,1979-10-17,Active
2978,DANIELLE,Gibson,danielle.gibson@enterprise.com,2023-06-09,Textile designer,IT,"$225,000",2004,"823 Angela Knoll Apt. 219 Perezborough, PR 36975",Meganville,CT,09794,1999-04-17,Active
277,Robyn,Henderson,robyn.henderson@enterprise.com,2024-03-06,Engineering geologist,,"$85,000",2008,"3853 Mary Junction Apt. 636 Port Kurt, TX 38978",,MH,83522,1967-05-02,Active
1701,Chris,GUTIERREZ,chris.gutierrez@analytics.com,2023-07-04,Sub,Marketing,,9025,"414 Heather Villages South Jasonshire, FM 25447",New William,LA,48792,1973-07-31,Active
642,Heather,CAMPBELL,heather.campbell@corp.com,2020-11-27,"Therapist, speech and language",it,"$105,000",,,East Dustin,AZ,09108,1985-01-26,Active
2394,AUSTIN,GREEN,austin.green@enterprise.com,2020-03-08,Higher education careers adviser,HR,"$85,000",2031,"232 Barbara Pine Apt. 098 Sarahport, MT 96798",East Jacob,VA,65418,2004-05-13,Active
135,Barbara,conner,barbara.conner@analytics.com,2021-03-16,Associate Professor,IT,65000,2017,"853 Jamie Islands Apt. 757 Port Nicole, FL 62319",Port Margaretton,AK,45085,1989-12-27,Active
65,Benjamin,harris,benjamin.harris@analytics.com,2021-12-01,Health visitor,HR,"$95,000",,,,AZ,15369,1978-04-01,Active
1476,jesse,marshall,jesse.marshall@tech.com,2021-02-21,"Engineer, electrical",Analytics,"$85,000",3029,,Kingside,NY,21009,1989-08-24,Active
1165,TRAVIS,CARLSON,travis.carlson@tech.com,2025-02-19,Technical sales engineer,it,"$105,000",2000,Unit 2891 Box 7445 DPO AP 06339,North Sharonview,ND,88607,1998-06-05,Active
1341,Heidi,VALENTINE,HEIDI.VALENTINE@ANALYTICS.COM,2021-12-10,"Sound technician, broadcasting/film/video",it,"$45,000",2077,"822 Wilson Landing Apt. 054 Marktown, AZ 64515",North Paul,NM,56590,1979-08-20,Active
1990,glenn,Vazquez,glenn.vazquez@corp.com,2020-01-15,Arts administrator,Analytics,$90000,9008,"3521 Mora Freeway Lake Georgeland, SD 53761",,VT,39785,2002-07-31,Active
789,BRETT,Jackson,brett.jackson@company.com,2020-03-25,Equality and diversity officer,HR,"$45,000",5077,"264 Laura Crest Pricemouth, CT 59059",West Jonathan,OK,05802,1979-12-02,Active
2945,ana,Stanley,ANA.STANLEY@CORP.COM,2020-09-22,Patent examiner,it,"$225,000",2010,"504 Bowman Fields Apt. 403 Kylefort, MS 66041",West Connie,TN,87369,1967-09-22,Active
2808,ZACHARY,shepherd,zachary.shepherd@tech.com,2023-07-19,Research scientist (life sciences),it,"55,000",2087,"5760 Robertson Squares Suite 120 North Anthonymouth, NJ 13675",New Peter,GA,55335,2004-01-07,Active
1013,Haley,young,haley.young@company.com,2023-10-11,Comptroller,Marketing,"55,000",5005,,Reynoldsport,LA,47760,2004-10-08,Active
2073,Amanda,Zimmerman,amanda.zimmerman@corp,2024-07-07,Mechanical engineer,Analytics,"$62,100",9015,"97820 Philip Passage Michaelview, GA 43932",Port Jessica,MN,93679,1965-10-16,Active
2790,scott,Doyle,scott.doyle@corp.com,2021-10-05,"Administrator, local government",IT,"55,000",3004,"56008 Kimberly Via Suite 215 Lake William, NH 33353",East Jesse,OR,37644,1975-09-29,Active
1511,Calvin,Hill,CALVIN.HILL@CORP.COM,2023-11-25,Associate Professor,SALES,,9014,,New Robertburgh,NE,66151,1987-08-19,Active
856,amanda,hernandez,amanda.hernandez@company.com,2024-01-31,Engineering geologist,IT,"$62,100",3116,,,UT,28958,1992-06-04,Active
1265,joseph,Hawkins,joseph.hawkins@company.com,2020-12-17,"Engineer, manufacturing systems",it,"$95,000",3131,"0912 Christine Harbors North Matthew, IL 06355",West Patrickmouth,FM,39078,1994-06-12,Active
2393,ANGELA,conway,angela.conway@analytics.com,2021-11-19,Contractor,Marketing,"$85,000",,"257 Susan Harbor Ericksonshire, FM 78368",Port Monicaview,CA,82438,2003-05-11,Active
611,GARRETT,BURKE,garrett.burke@tech.com,2023-04-10,"Buyer, retail",IT,"$225,000",5081,"726 Whitney Meadow Nicholasville, MH 74822",North Derekfurt,PR,81395,1996-03-07,Active
2482,Kimberly,robinson,kimberly.robinson@enterprise.com,2024-03-05,"Social research officer, government",HR,"$62,100",5090,"50453 Wade Mountain Beckerfurt, GU 63537",Thompsonview,UT,16266,1981-05-23,Active
2682,Brandon,SMITH,brandon.smith@enterprise.com,2022-02-02,Chiropractor,SALES,"$75,000",5004,"04492 Christine Trafficway Suite 847 Walkerburgh, VA 41505",,NE,84788,2001-10-17,Active
2357,donna,Gibbs,donna.gibbs@corp.com,2021-12-26,Chartered legal executive (England and Wales),Analytics,65000,2034,,,ND,50218,1991-05-25,Active
12,ALEC,Livingston,alec.livingston@company.com,2023-03-19,Medical sales representative,it,"$74,000",,"745 Mann Turnpike Suite 997 Chadview, NC 70912",North Sabrinaborough,NY,84488,1973-04-30,Active
415,Brian,Nelson,brian.nelson@corp.com,2021-10-25,Speech and language therapist,SALES,"$95,000",,"277 Donald Tunnel Apt. 096 Jefferyborough, IL 39503",North Justinstad,MN,03503,1987-03-16,Active
1306,andrea,elliott,ANDREA.ELLIOTT@TECH.COM,2021-06-07,Ship broker,,65000,9099,,South Alexandrahaven,OK,32751,1980-02-06,Active
527,Dennis,Griffin,DENNIS.GRIFFIN@COMPANY.COM,2025-06-04,"Therapist, nutritional",it,65000,9000,"3523 Watson Well Suite 176 New Maria, MD 53387",Lake Jenniferchester,RI,34051,1985-02-16,Active
2213,danielle,Dougherty,DANIELLE.DOUGHERTY@ANALYTICS.COM,2022-08-11,"Psychotherapist, child",it,"55,000",3019,"65573 Martinez Corners New Colleenshire, PR 02231",,NC,64107,1966-02-22,Active
1834,Andrew,carter,andrew.carter@analytics.com,2020-05-06,"Teacher, early years/pre",,"$45,000",9047,"0631 Mcdowell Port Suite 474 Nicholasside, CA 04714",New Jordan,MN,80585,1995-08-24,Active
2285,Lori,WILSON,lori.wilson@analytics.com,2025-12-01,"Engineer, site",SALES,"$74,000",5009,,East Cassandra,DC,44680,1966-01-03,Active
740,jessica,TURNER,jessica.turner@company.,2019-12-10,Nature conservation officer,HR,"$62,100",,"77245 Holly Shoals Apt. 110 Kramerborough, MI 70562",Lake Barbara,SC,77194,1977-11-05,Active
308,Robert,WALTON,robert.walton@tech.com,2023-04-13,Immunologist,IT,$90000,,"998 Amanda Pine Suite 806 North Lacey, MN 14980",Youngshire,RI,00684,1991-04-24,Active
